epoch,acc,loss,lr,val_acc,val_loss
0,0.7084111,0.9385926137697911,0.0005,0.68108976,1.063992424398406
1,0.82649153,0.5393488099846815,0.0005,0.66212606,1.2029822738761575
2,0.85893214,0.43399597979180515,0.0005,0.74198717,0.8765723165283855
3,0.8773621,0.3747245563544431,0.0005,0.6497062,1.5204179011858427
4,0.8895344,0.3356448996111555,0.0005,0.76282054,0.8197484207458985
5,0.89823985,0.304950012764401,0.0005,0.7533387,0.8531154083390521
6,0.9068739,0.28107397216271424,0.0005,0.75614315,0.9474256135459639
7,0.91356486,0.25827272438450727,0.0005,0.7604167,0.886350062667814
8,0.9183652,0.24222231483957238,0.0005,0.78392094,0.8112618383179363
9,0.9230703,0.2262176612028168,0.0005,0.7844551,0.8486995297109979
10,0.92910415,0.21083429020212685,0.0005,0.78552353,0.846248828447782
11,0.9320234,0.19965359409041963,0.0005,0.7930021,0.8072953547677423
12,0.9356332,0.1880133482543834,0.0005,0.72636217,1.1106542150179546
13,0.9394192,0.17699272168703156,0.0005,0.7776442,0.9032287903321095
14,0.9419337,0.16818062591240723,0.0005,0.79073185,0.8684665127697154
15,0.9455578,0.15711711219312377,0.0005,0.7861912,0.9349325487756321
16,0.94811034,0.15013722656933373,0.0005,0.68856835,1.8380061596886725
17,0.95063436,0.14193049275805378,0.0005,0.79594016,0.8711681969654865
18,0.9529202,0.13556295142136343,0.0005,0.7934028,0.9395529416381804
19,0.954787,0.12981576998869945,0.0005,0.7875267,1.0043590203819113
20,0.9573872,0.12204928586559802,0.0005,0.78125,1.040243211719725
21,0.9592207,0.11719875130887548,0.0005,0.78846157,1.0209361895536766
22,0.96115893,0.11193131215283372,0.0005,0.7815171,1.058449876614106
23,0.9615828,0.10865643386908173,0.0005,0.80288464,0.9320583705209259
24,0.9642116,0.10258932359413298,0.0005,0.76989853,1.2570887717426333
25,0.9663927,0.09624321570296916,0.0005,0.7895299,1.1205257006690033
26,0.9665641,0.0939354357060984,0.0005,0.79407054,0.9837409856482449
27,0.96789753,0.09068133359590727,0.0005,0.78725964,1.1686812478762407
28,0.96960247,0.08651959180692254,0.0005,0.7986111,1.09599294519832
29,0.97026914,0.08417297533318158,0.0005,0.78338677,1.2463098316111116
30,0.9712454,0.0812526427620113,0.0005,0.7963408,1.1502433154318068
31,0.97241217,0.07731109168704092,0.0005,0.7849893,1.2798774833353157
32,0.97421235,0.07292925454667636,0.0005,0.7807158,1.3285198759319437
33,0.974098,0.0723881398419759,0.0005,0.7974092,1.1906866543313377
34,0.9760458,0.06789398486792692,0.0005,0.78018165,1.364013499683804
35,0.97627914,0.06607100034564908,0.0005,0.7845887,1.4045130202912877
36,0.9767173,0.06578256929644118,0.0005,0.7813836,1.3419660525953667
37,0.9885515,0.03623943834713751,0.00025,0.782719,1.4350987469029224
38,0.99058974,0.030858818316769454,0.00025,0.79794335,1.2879982414918068
39,0.99079454,0.029094311303992183,0.00025,0.79620725,1.3370068144594502
40,0.99130887,0.02784153296620293,0.00025,0.7988782,1.3156884409423568
41,0.99172795,0.026377537893656502,0.00025,0.79647434,1.4054925869672725
42,0.9917899,0.02640100883503627,0.00025,0.788328,1.4827477931976318
43,0.9923518,0.024848317524455987,0.00025,0.79821044,1.3838681252593668
44,0.99186605,0.025664357227370222,0.00025,0.7895299,1.5395755181964645
45,0.9922899,0.024400142418428278,0.00025,0.76989853,1.6880572020498097
46,0.99285185,0.023061105575035625,0.00025,0.7932692,1.5392938944009633
47,0.99273753,0.02329785756964287,0.00025,0.7970086,1.4659110381562486
48,0.9928185,0.022321692517512506,0.00025,0.7900641,1.5785749417084913
49,0.99301374,0.021958369954353064,0.00025,0.7986111,1.4921408313461857
50,0.99327093,0.02123645826341716,0.00025,0.79821044,1.4939323408990843
51,0.99323756,0.02142931400433403,0.00025,0.79754275,1.526630128041292
52,0.9936376,0.02021942708497732,0.00025,0.7913996,1.5017871016111128
53,0.99385667,0.019663496657550853,0.00025,0.788328,1.5801949546887324
54,0.99390906,0.019483060567865324,0.00025,0.7935363,1.5834354748073807
55,0.99372333,0.01954935673600043,0.00025,0.7860577,1.6822445165907216
56,0.9942281,0.018823785178398413,0.00025,0.78552353,1.803906777475634
57,0.99406624,0.018472135099354227,0.00025,0.7915331,1.6500441508415418
58,0.99450433,0.017538060347259164,0.00025,0.79727566,1.5945301387045119
59,0.9939043,0.018689235480239257,0.00025,0.78846157,1.774590228867327
60,0.9944853,0.017724331754937962,0.00025,0.7877938,1.7903598893401969
61,0.9943519,0.017210268452810748,0.00025,0.78018165,1.8412441211378472
62,0.9971617,0.010838232970151752,0.000125,0.7948718,1.6902920456014128
63,0.9974903,0.009796794831748928,0.000125,0.79073185,1.7289504342608981
64,0.9976427,0.009360466726782276,0.000125,0.7952724,1.669913700503162
65,0.99784744,0.008968711054106281,0.000125,0.795406,1.7367328476702046
66,0.9979808,0.008681487086302047,0.000125,0.79594016,1.7289263259651315
67,0.99815226,0.008290752400465297,0.000125,0.7948718,1.727111377267756
68,0.99813795,0.008202611317136971,0.000125,0.79046476,1.7892933757896097
69,0.9982808,0.007826872346723348,0.000125,0.7928686,1.7785388445242858
70,0.9982141,0.007861037843287693,0.000125,0.79099894,1.7890539118367383
71,0.99822843,0.007878628306679153,0.000125,0.79273504,1.8027703777337685
72,0.9980951,0.007910588291531415,0.000125,0.79099894,1.8247755852519956
73,0.9982999,0.007536664517048599,0.000125,0.79981303,1.7422176777807057
74,0.9981618,0.007647974571703908,0.000125,0.786859,1.9059349751880026
75,0.9983904,0.0072867981037244385,0.000125,0.79767627,1.75883819302942
76,0.99831414,0.007355959345827341,0.000125,0.79607373,1.7803381166906438
77,0.99834275,0.007345044771574465,0.000125,0.7903312,1.8039555452827714
78,0.9983761,0.007246829820753914,0.000125,0.79113245,1.8148653441005282
79,0.9984427,0.006986398013170869,0.000125,0.789797,1.8187330013666398
80,0.99838084,0.006957379309263819,0.000125,0.7923344,1.8847548941261747
81,0.9985142,0.00693770204101291,0.000125,0.78018165,2.063009253424457
82,0.9985618,0.0066721934537833745,0.000125,0.7905983,1.8901863928534026
