epoch,loss,lr,predictions_categorical_accuracy,predictions_loss,reconstruction_loss,val_loss,val_predictions_categorical_accuracy,val_predictions_loss,val_reconstruction_loss
0,1.947727605053406,0.005,0.42844832,1.9307266,0.016999083,1.6822413122400324,0.5242021,1.6675366,0.014704828
1,1.1615965185724124,0.005,0.6373848,1.151339,0.010257069,1.4594744651875597,0.56848407,1.44763,0.011844081
2,1.0369958883830002,0.005,0.67364866,1.0280942,0.008899955,1.3429147149654146,0.6011968,1.3325229,0.010391563
3,0.9552696586091145,0.005,0.69921815,0.9472154,0.008053258,1.6257718454016017,0.5667553,1.6159768,0.009795372
4,0.8963918739587237,0.005,0.7150455,0.8889059,0.007485318,1.3924533722248482,0.6097075,1.3842107,0.008242305
5,0.8484044421305839,0.005,0.7305348,0.8413575,0.0070471196,1.2175166788253378,0.6349734,1.2094625,0.0080548525
6,0.8135877450451008,0.005,0.74064356,0.80682987,0.006758014,1.1360415727534192,0.6674202,1.1283686,0.007672959
7,0.7810759189927903,0.005,0.7510904,0.7745454,0.006530184,1.1263723321417545,0.66170216,1.1191202,0.007252001
8,0.7547495305111327,0.005,0.75852793,0.74840486,0.0063443757,1.0998297875231884,0.67234045,1.0926843,0.0071454956
9,0.7357637493208598,0.005,0.7647989,0.72958785,0.0061758095,1.0611837499953332,0.6804521,1.0538872,0.0072969873
10,0.7151535917541775,0.005,0.7714793,0.7090996,0.0060533304,1.1194866691498047,0.66595745,1.1127709,0.0067155464
11,0.698993081204524,0.005,0.77619326,0.6930801,0.0059126667,1.0505427397312002,0.67593086,1.0437325,0.006809927
12,0.6859684006326467,0.005,0.7808786,0.6801762,0.0057916827,1.0496456425240699,0.6821808,1.0429332,0.006712639
13,0.6682769001760843,0.005,0.7851116,0.6625981,0.005678747,1.0752262980379956,0.67779255,1.068328,0.006898611
14,0.659293976475167,0.005,0.7889637,0.65375924,0.005535239,0.9690415372239782,0.7051862,0.96270305,0.0063384217
15,0.6469945353436685,0.005,0.7918635,0.6416151,0.0053793057,0.9839902469452392,0.6952128,0.9776996,0.006290665
16,0.6379642689246676,0.005,0.7947823,0.63270825,0.0052565294,1.042423708388146,0.68138295,1.0361007,0.00632301
17,0.623736869565928,0.005,0.7990106,0.61861724,0.005120364,1.0536396358875517,0.68949467,1.0474964,0.0061433874
18,0.6153737516864015,0.005,0.80074376,0.6104094,0.004963586,0.971191713023693,0.70372343,0.96561813,0.0055735065
19,0.6072635072684045,0.005,0.80454344,0.6024321,0.00483154,0.9883778819378386,0.6968085,0.98275447,0.0056232605
20,0.5990850214285766,0.005,0.8077766,0.59436,0.0047251447,1.0076628291860539,0.70212764,1.0023026,0.005360244
21,0.5916236751842986,0.005,0.80906695,0.5870246,0.0045995265,0.9323166405900996,0.7117021,0.9270554,0.005261235
22,0.5838253210929769,0.005,0.811143,0.5793332,0.004491638,0.9656861642573742,0.7139628,0.96031404,0.0053721927
23,0.5774841147480478,0.005,0.81363326,0.57306695,0.0044172853,0.9360697591558416,0.7156915,0.93090504,0.0051647257
24,0.570547081519877,0.005,0.8148141,0.5662046,0.0043418505,0.9251190834857048,0.71781915,0.920095,0.00502443
25,0.5645425235607103,0.005,0.81700915,0.56028,0.004261997,0.9783106324520517,0.7103723,0.97326607,0.0050443793
26,0.5586122867629856,0.005,0.8191376,0.554424,0.0041879904,0.9439367663353048,0.7236702,0.9389472,0.0049898983
27,0.5537021546538748,0.005,0.82083744,0.5495789,0.0041235248,0.9649156556484547,0.71369684,0.9602242,0.004691339
28,0.5486927665911959,0.005,0.82271826,0.54463625,0.004056856,0.8765766757599851,0.72965425,0.8718503,0.004726246
29,0.5450099200979794,0.005,0.8234515,0.5410133,0.0039970363,0.924147622636024,0.7219415,0.91937923,0.004768805
30,0.5373479699522697,0.005,0.82584184,0.5333959,0.0039509335,0.9082892694371811,0.7261968,0.9036521,0.004636988
31,0.5336330333452444,0.005,0.82770836,0.5297515,0.0038821117,0.9214463340475204,0.7219415,0.91700244,0.0044441
32,0.5272344137242104,0.005,0.8290416,0.5234081,0.0038264361,0.8749361379349485,0.73271275,0.87040585,0.0045298114
33,0.5263746543213415,0.005,0.8294321,0.5226019,0.0037724187,0.9138191891477463,0.7261968,0.90942156,0.004397668
34,0.5211907412079746,0.005,0.830351,0.51745534,0.003734983,0.8995313572122695,0.7344415,0.8952397,0.0042915125
35,0.5159555475624726,0.005,0.8325175,0.51226115,0.0036944586,0.949225522863104,0.7176862,0.94472164,0.0045036394
36,0.5123996410860024,0.005,0.83345556,0.5087364,0.0036632267,0.9182072633124413,0.7305851,0.9138635,0.004343688
37,0.5076069817283014,0.005,0.8352364,0.50398946,0.0036175975,0.8692546204049536,0.7412234,0.8649583,0.0042963647
38,0.5037852300116152,0.005,0.83608866,0.5002265,0.0035596369,0.8789591122814949,0.7416223,0.87485635,0.004102712
39,0.500124686230306,0.005,0.83751714,0.4965979,0.0035262648,0.9536353915295702,0.7304521,0.94953364,0.0041015055
40,0.4974414590770572,0.005,0.83804566,0.49395043,0.0034906084,0.9287217836430732,0.71968085,0.92387444,0.0048477473
41,0.49243766908014075,0.005,0.8397789,0.48898816,0.0034491867,0.8678234986168273,0.73789895,0.86384964,0.003973577
42,0.49026644959167137,0.005,0.8403788,0.48686042,0.0034064876,0.9632149055917212,0.71329784,0.95886946,0.004345267
43,0.48768683257634077,0.005,0.84072644,0.4843296,0.0033574195,0.8949254611705212,0.73962766,0.8908934,0.004031971
44,0.4843268252145167,0.005,0.84135973,0.48098338,0.0033432017,0.8309527511292315,0.7465426,0.8269072,0.004045754
45,0.48072990534891535,0.005,0.84317386,0.47744343,0.003287827,0.8712276804954447,0.7340425,0.86735016,0.0038774093
46,0.4766664345719348,0.005,0.8442071,0.47339627,0.0032706321,0.834102867575402,0.7404255,0.8302478,0.0038549735
47,0.4759594235156579,0.005,0.8441738,0.47271675,0.0032425527,0.9015536962671483,0.7386968,0.8976077,0.003946377
48,0.47355794932045586,0.005,0.8453165,0.47035748,0.003201029,0.8490164136632959,0.7453458,0.845079,0.003937492
49,0.4680899941231462,0.005,0.84626883,0.46490732,0.0031827318,0.9004559463643013,0.73550534,0.8965055,0.003950706
50,0.4651160874102749,0.005,0.8478973,0.46195975,0.0031563127,0.8581295585378688,0.73843086,0.8542472,0.0038824247
51,0.46397479012456405,0.005,0.8492686,0.46085382,0.003120281,0.9273644654040641,0.7329787,0.92367727,0.0036873769
52,0.459589220212783,0.005,0.8492734,0.45649585,0.0030928445,0.9128861802689573,0.74095744,0.90905017,0.0038360239
53,0.45743949418374086,0.005,0.85049236,0.45438433,0.0030553702,0.9475767664452817,0.73856384,0.94391495,0.0036617892
54,0.4546987776024829,0.005,0.8513685,0.45166117,0.0030372029,0.8550528298033044,0.7465426,0.85133725,0.0037153703
55,0.45214436287362636,0.005,0.8520589,0.44911745,0.003026664,0.849910448206232,0.74614364,0.8462094,0.0037012848
56,0.45110338215427975,0.005,0.8518351,0.44811362,0.002989061,0.8988211589924833,0.7388298,0.89521635,0.0036052635
57,0.447165304211678,0.005,0.85386354,0.44420087,0.0029639846,0.8909706615387125,0.74494684,0.8874713,0.0034992592
58,0.44484772631944214,0.005,0.8545444,0.44190806,0.0029394242,0.8698573011033078,0.73976064,0.86624056,0.003616668
59,0.4432876143799211,0.005,0.85453963,0.44035882,0.0029281946,0.9048681782915237,0.7470745,0.90129846,0.0035694884
60,0.44063319375109294,0.005,0.8553206,0.43771923,0.0029138112,0.9572802419358112,0.7410904,0.9537801,0.003500223
61,0.43853990125475395,0.005,0.85596335,0.43566307,0.002876363,0.9100343655398552,0.7452128,0.9065144,0.0035198035
62,0.43623053090189645,0.005,0.8569728,0.43335825,0.0028714475,0.9110391711935084,0.73896277,0.90728635,0.0037529415
63,0.4323105302043446,0.005,0.8583346,0.42947155,0.0028389501,0.8640780949846227,0.7371011,0.86030126,0.0037770907
64,0.4334609727683853,0.005,0.8580537,0.43064117,0.0028190075,0.7996631295122999,0.76143616,0.7962067,0.0034561872
65,0.43036704409868093,0.005,0.859325,0.42756918,0.0027980935,0.8204190900985231,0.7529255,0.8168932,0.003525723
66,0.4300601923812431,0.005,0.8589679,0.42728525,0.002775061,0.8118061338333373,0.7655585,0.80841047,0.0033953055
67,0.4240557861094493,0.005,0.8603678,0.42129126,0.0027657172,0.8160362879012494,0.75970745,0.81258667,0.0034497469
